,level_0,confidence,evaluation,id,lan,orientation,remarks,text,timespan,length,new_text,Lemma_text,Lemma_length
254,110,4,0,3,es,-1,,"Este artículo tiene como objetivo identificar la incidencia de las competencias de negocio TI en la percepción del éxito profesional. Se presenta el problema, el modelo de análisis, la hipótesis y la metodología de investigación.  Es un tema interesante, pero la autora indica que la investigación se  encuentra en la fase de recolección de datos y que faltan unos 7 meses para  obtener los resultados finales.  Sin embargo, el análisis teórico realizado es  bastante importante.  La Figura 3 es muy simple. Sugiero que el modelo propuesto aporte mayor información. Para ello, puede unir en una sola figura las Figuras 3,  4 y 2.  Utiliza referencias numéricas y referencias en formato APA (debe usar solamente referencias numéricas y de manera correcta).  Hay 2 páginas con número de página 3.  En página 5 aparece la Figura 4, en página 6 aparece la Figura 2 ¿? ¿Existe la Figura 3?  En Referencia [11] no indica el nombre de la conferencia, Referencia [15] no tiene fecha, la Referencia [30] ¿es un libro?, la Referencia [34] tiene su título escrito totalmente en mayúsculas, Referencia [45] dice solamente “Quinta”, Referencia [46] dice “Segunda”.  En Conclusiones, cambiar “tesis q del” por “tesis del”. Cambiar “se mostrara” por “se mostrará”.  Las Referencias [8] y [46] no son utilizadas en el texto.  El nombre del autor e institución debería ser anónimo (según normas del congreso).  En página 5, debe revisar que el texto esté justificado a la derecha.  En página 8, cambiar “se capaces” por “ser capaces”.",2014-07-05,1517,artículo objetivo identificar incidencia competencias negocio percepción éxito profesional presenta problema modelo análisis hipótesis y metodología investigación tema interesante autora indica investigación fase recolección datos y faltan meses obtener resultados finales análisis teórico importante figura simple sugiero modelo propuesto aporte información unir figura figuras y utiliza referencias numéricas y referencias formato apa referencias numéricas y correcta páginas número página página aparece figura página aparece figura figura referencia indica nombre conferencia referencia fecha referencia libro referencia título escrito totalmente mayúsculas referencia “quinta” referencia “segunda” conclusiones cambiar “tesis q del” “tesis del” cambiar “se mostrara” “se mostrará” referencias y utilizadas texto nombre autor e institución debería anónimo normas congreso página revisar texto esté justificado derecha página cambiar “se capaces” “ser capaces”,artículo objetivo identificar incidencia competencia negocio percepción éxito profesional presentar problema modelo análisis hipótesis y metodologíar investigación tema interesante autoro indicar investigación fase recolección dato y faltar mes obtener resultado final análisis teórico importante figura simple sugiero modelo propuesto aportar información unir figura figura y utilizar referencia numérico y referencia formato apa referencia numérico y correcto página número página página aparecer figura págín aparecer figura figura referencia indicar nombre conferencia referencia fecha referencio libro referencia título escrito totalmente mayúscula referencia “ quinto ” referencia “ segundo ” conclusión cambiar “ tesis q del ” “ tesis del ” cambiar “ él mostrar ” “ él mostrar ” referencia y utilizado texto nombre autor e institución deber anónimir norma congreso páginar revisar texto estar justificado derecho páginar cambiar “ él capaz ” “ ser capaz ”,962
255,111,4,1,1,es,0,,"Me parece un trabajo interesante, con énfasis en cubrir brechas prácticas. Su contenido y estructura están técnicamente bien presentados. Sin embargo, por otro lado, no existe una distinción clara entre los trabajos previos y la propuesta original de este trabajo. El artículo expone que existen trabajos previos respecto a este maridaje CMMI-ÄGIL pero no indica si estas propuestas son suficientes o insuficientes para la mejora. Es decir, la motivación o justificación de este trabajo no está explícita.",2014-07-05,505,interesante énfasis cubrir brechas prácticas contenido y estructura técnicamente presentados distinción clara trabajos previos y propuesta original artículo expone trabajos previos maridaje cmmiägil indica propuestas suficientes insuficientes mejora motivación justificación explícita,interesante énfasis cubrir brecha práctica contenido y estructura técnicamente presentado distinción claro trabajo previo y propuesta original artículo exponer trabajo previo maridaje cmmiägil indicar propuesta suficiente insuficiente mejorar motivación justificación explícito,277
256,111,4,-2,2,es,-1,,"El artículo realiza una descripción general del modelo CMMI y de las metodologías ágiles, tomando como casos particulares Scrum y XP. Se realiza una discusión sobre la combinación de estos enfoques para la mejora de procesos, realizando un mapeo de las áreas de proceso REQM y PPQA con sus equivalentes en las metodologías ágiles.  El artículo realiza descripciones generales correctas de las metodologías, pero no contiene elementos de investigación novedosos que aporten al conocimiento en esta área. Para la comunidad técnica/científica de ingeniería de software resulta evidente que los enfoques tienen distintos puntos de partida, pero son combinables. Esto es especialmente cierto para expertos en mejora de proceso de software.  La revisión que se realiza sobre la investigación de la combinación de agilidad y CMMI no es sistemática. Por estado del arte no se entiende una descripción simple de cada enfoque, sino recoger la investigación más actualizada sobre este tema.  Si bien puede ser interesante realizar un mapeo entre áreas de proceso y prácticas ágiles, no se explica que pasos se van a seguir para realizar esto. Tampoco se realiza una validación de este mapeo o se explica cómo puede ser aplicado, por ejemplo por un consultor en mejora de procesos. No se aporta ninguna evidencia empírica de la aplicabilidad o utilidad del mapeo.",2014-07-05,1351,artículo realiza descripción modelo cmmi y metodologías ágiles tomando casos particulares scrum y xp realiza discusión combinación enfoques mejora procesos realizando mapeo áreas proceso reqm y ppqa equivalentes metodologías ágiles artículo realiza descripciones generales correctas metodologías contiene elementos investigación novedosos aporten conocimiento área comunidad técnicacientífica ingeniería software resulta evidente enfoques distintos puntos partida combinables especialmente expertos mejora proceso software revisión realiza investigación combinación agilidad y cmmi sistemática arte entiende descripción simple enfoque recoger investigación actualizada tema interesante mapeo áreas proceso y prácticas ágiles explica pasos seguir realiza validación mapeo explica aplicado consultor mejora procesos aporta evidencia empírica aplicabilidad utilidad mapeo,artículo realizar descripción modelo cmmi y metodología ágil tomar caso particular scrum y xp realizar discusión combinación enfoqu mejorar proceso realizar mapeo área proceso reqm y ppqa equivalente metodología ágil artículo realizar descripción general correcto metodología contener elemento investigación novedoso aportar conocimiento área comunidad técnicacientífico ingenieer software resultar evidente enfoque distinto punto partida combinabl especialmente experto mejorar proceso software revisión realizar investigación combinación agilidad y cmmi sistemático arte entender descripción simple enfoque recoger investigación actualizado tema interesante mapeo área proceso y práctica ágil explicar paso seguir realizar validación mapeo explicar aplicado consultor mejorar proceso aportar evidencia empírico aplicabilidad utilidad mapeo,841
257,111,3,-1,3,es,-1,,"El artículo presenta una descripción de la integración entre CMMI y métodos ágiles de desarrollo. Un énfasis que hacen los autores es que esta integración es recomendable para PYME. El desarrollo de software para las más pequeñas empresas es un desafío aun no resuelto. Como tal, los autores toman un tema que es interesante y justifican bien la idea del tema. Sin embargo, creo que no logran desarrollar su punto en la forma que se esperaría desde un punto de vista científico. Aunque los autores indican que hacen una revisión de la literatura, esta no es lograda adecuadamente, ya que no se observa una metodología de revisión sistemática propia de esta meta. Por otra parte, el artículo en mi opinión hace un resumen adecuado para personas que no pertenecen al área pero están familiarizados con algunos conceptos claves descritos en el paper. Vale mencionar que me parece un artículo bien escrito y planteado, en general, con una estructura fácil de entender. Además, otra crítica que haría es que si bien las ideas de CMMI y desarrollo ágil me parecen bien descritas, no pasa lo mismo respecto a justificar adecuadamente su aplicación concreta en PYMEs. Pienso que el artículo podría ser mejorado sustancialmente. Una sugerencia que haría para ello sería la presentación de un caso que dé fuerza al argumento central del artículo, es decir, CMMI y desarrollo ágil son compatibles y especialmente útiles para PYMEs. De esa forma, podría darse menor énfasis a la revisión (que me parece insuficiente en ese sentido) y se alzaría la relevancia práctica del argumento. Si así fuera, el artículo podría tener una interesante proyección. Además, deberían mejorarse la inclusión de referencias ya que existen una gran cantidad de argumentos que merecen ser aclarados si pertenecen a una opinión de los autores o son extraídos de la teoría existente. Existen muy pequeños errores ortográficos y gramáticos.",2014-07-05,1904,artículo presenta descripción integración cmmi y métodos ágiles desarrollo énfasis autores integración recomendable pyme desarrollo software pequeñas empresas desafío resuelto autores toman tema interesante y justifican idea tema logran desarrollar punto forma esperaría punto vista científico autores indican revisión literatura lograda adecuadamente observa metodología revisión sistemática meta artículo opinión resumen adecuado personas pertenecen área familiarizados conceptos claves descritos paper vale mencionar artículo escrito y planteado estructura fácil entender crítica haría ideas cmmi y desarrollo ágil parecen descritas pasa justificar adecuadamente aplicación concreta pymes pienso artículo mejorado sustancialmente sugerencia haría presentación caso dé fuerza argumento central artículo cmmi y desarrollo ágil compatibles y especialmente útiles pymes forma darse menor énfasis revisión insuficiente sentido y alzaría relevancia práctica argumento artículo interesante proyección deberían mejorarse inclusión referencias cantidad argumentos merecen aclarados pertenecen opinión autores extraídos teoría existente pequeños errores ortográficos y gramáticos,artículo presentar descripción integración cmmi y método ágil desarrollo énfasis autor integración recomendable pyme desarrollo software pequeño empresa desafío resolver autor tomar tema interesante y justificar idea tema lograr desarrollar punto forma esperar punto visto científico autor indicar revisión literatura logrado adecuadamente observar metodología revisión sistemático meta artículo opinión resumir adecuado persona pertenecer área familiarizado concepto clave descrito paper valer mencionar artículo escrito y planteado estructura fácil entender crítica hacer idea cmmi y desarrollo ágil parecer descrita pasar justificar adecuadamente aplicación concreto pyme pensar artículo mejorado sustancialmente sugerencia hacer presentación caso dar fuerza argumento central artículo cmmi y desarrollo ágil compatible y especialmente útil pyme formar dar él menor énfasis revisión insuficiente sentido y alzarío relevancia práctico argumento artículo interesante proyección deber mejorar él inclusión referencia cantidad argumento merecer aclarado pertenecer opinión autor extraído teoría existente pequeño error ortográfico y gramático,1141
258,111,5,-1,4,es,-1,"**El principal problema detectado es el uso de conceptos como metodologías, métodos, modelos de manera indistinta, recomiendo revisar los términos,  elegir el más apropiado y estandarizar su uso","• Revisar los conceptos de metodologías, métodos y modelos ya que son utilizados de manera indistinta, recomiendo revisar los términos,  elegir el más apropiado y estandarizar su uso  • Agregar referencia a afirmaciones que haces dentro de las diferentes secciones por ejemplo: ”la calidad de un sistema o producto está muy influenciada por la calidad del proceso empleado para desarrollarlo y mantenerlo”  •Resumen:   •Revisa redacción en el uso de palabras como:    oconstrucción --> desarrollo    omodelos: metodologías? las metodologías ágiles son empleadas para mejorar la calidad de los procesos? revisar conceptos de modelos de mejora y metodologías de desarrollo de software ágiles    o“estos dos modelos”: cuales modelos, si estás hablando de un modelos y metodologías ágiles  •Abstract   •Revisar la redacción del abstract frases como:    o Give --> provide?    o Consisting of ""heavy"" development --> processes?    o The agile software development models --> methodologies?    o With --> between    o Models --> methodology and model   •Introducción    o Basar los desarrollos --> el desarrollo    o Lo antes dicho argumenta la selección de procesos ágiles.. procesos o metodologías?    o … han aplicado técnicas como procesos de mejora del proceso o certificaciones con excelentes resultados prácticos --> aquí dos comentarios: (1) no veo la relación entre procesos de mejora de proceso y certificaciones... y (2) ¿estás hablando de procesos de mejoras procesos o iniciativas de mejora de procesos?   •Estado del arte    o Procesos ágiles y CMMI?    o “Para asegurarse esa posición, muchas empresas recurren a certificaciones” --> a certificaciones o a implementación de mejoras siguiendo modelos como CMMI   •Propósito y niveles de CMMI    o En concreto, la propuesta de CMMI consiste de una serie de prácticas y procesos de alto nivel que ayudan a las organizaciones a construir un modelo para mejorar sus procesos --> CMMI no es para construir modelos, te proporciona un conjunto de buenas prácticas que pueden ser implementadas en las organizaciones para mejorar sus procesos.... como lo mencionas en la frase siguiente!    o Referencias de las Tablas    •Modelos ágiles de desarrollo de software:    o En toda la sección, ¿estás hablando de modelos o metodologías? Ya que usas modelos, método y metodología indistintamente    •Aseguramiento de la calidad del proceso y del producto:    o Referencia de la fuente de la fuente de los conceptos de esta sección    o Tabla 4: Recomiendo agregar una breve descripción de la práctica CMMI para que sea mejor entendida la relación que propones    o Tabla 5: revisar “Fase de planificación: EN esta fase se detectan y corrigen las no conformidades” --> ¿estás seguro?    •Gestión de Requisitos (REQM):    o Referencia de la fuente de la fuente de los conceptos de esta sección    o “El Product Backlog, que permite trazar un requisito y un papel responsable para el seguimiento de ella” --> no se entiende    o Tabla 6: (1) recomiendo agregar una breve descripción de las prácticas CMMI; (2) “entre los cuales están los proveedores de los requisitos” --> te estas refiriendo al product owner?;    o Pregunta: ¿quien valida esta trazabilidad? o ¿cómo se ha realizado la validación?   •Conclusiones:    o “Últimamente se vienen aplicando en la industria diversas metodologías” --> ¿cuáles metodologías?    o“El llegar a un nivel superior indica que hay una serie de prácticas importantes que aumentan la madurez de la organización a la hora de enfrentarse a problemas más exigentes.”  --> indica que la organización va estandarizando su forma de trabajar... todos trabajan de la misma manera    o Resaltando las limitaciones y proponiendo soluciones a los problemas en estas áreas, este estudio genera una nueva comprensión de la mejora de procesos de desarrollo de software mediado con prácticas ágiles y CMMI. -->¿?    o se sugiere el desarrollo de una guía para facilitar la mejora organizativa de nivel del aseguramiento de la calidad del proceso y del producto y gestión de requisitos de CMMI. -->¿ en qué parte?, esto no lo veo en el desarrollo del artículo    o También se muestra que el conjunto de uso combinado de las prácticas XP y Scrum mejora algunos aspectos de comunicación dentro de los equipos de desarrollo --> ¿en qué parte del artículo se menciona esto?    o Así, la relación de correspondencia definida en este trabajo, establece una guía de apoyo para toda aquella organización ágil que desee certificarse de acuerdo al modelo de procesos CMMI. --> desde mi punto de vista, el trabajo presentado no tiene la profundidad para asegurar esta conclusión   •Referencias:    o Revisar el formato de las referencias de acuerdo a la guía del congreso    o Referencia 9 --> Editirial?",2014-07-05,4754,• revisar conceptos metodologías métodos y modelos utilizados indistinta recomiendo revisar términos elegir apropiado y estandarizar • agregar referencia afirmaciones secciones ”la calidad sistema producto influenciada calidad proceso empleado desarrollarlo y mantenerlo” •resumen •revisa redacción palabras oconstrucción desarrollo omodelos metodologías metodologías ágiles empleadas mejorar calidad procesos revisar conceptos modelos mejora y metodologías desarrollo software ágiles o“estos modelos” modelos estás hablando modelos y metodologías ágiles •abstract •revisar redacción abstract frases give provide consisting of heavy development processes the agile software development models methodologies with between models methodology and model •introducción basar desarrollos desarrollo argumenta selección procesos ágiles procesos metodologías … aplicado técnicas procesos mejora proceso certificaciones excelentes resultados prácticos comentarios veo relación procesos mejora proceso y certificaciones y estás hablando procesos mejoras procesos iniciativas mejora procesos •estado arte procesos ágiles y cmmi “para asegurarse posición empresas recurren certificaciones” certificaciones implementación mejoras siguiendo modelos cmmi •propósito y niveles cmmi concreto propuesta cmmi consiste serie prácticas y procesos alto nivel ayudan organizaciones construir modelo mejorar procesos cmmi construir modelos proporciona conjunto prácticas implementadas organizaciones mejorar procesos mencionas frase referencias tablas •modelos ágiles desarrollo software sección estás hablando modelos metodologías modelos método y metodología indistintamente •aseguramiento calidad proceso y producto referencia fuente fuente conceptos sección tabla recomiendo agregar descripción práctica cmmi entendida relación propones tabla revisar “fase planificación fase detectan y corrigen conformidades” estás seguro •gestión requisitos reqm referencia fuente fuente conceptos sección “el product backlog permite trazar requisito y papel responsable seguimiento ella” entiende tabla recomiendo agregar descripción prácticas cmmi “entre proveedores requisitos” refiriendo product owner pregunta valida trazabilidad validación •conclusiones “últimamente vienen aplicando industria diversas metodologías” metodologías o“el llegar nivel superior indica serie prácticas importantes aumentan madurez organización hora enfrentarse problemas exigentes” indica organización estandarizando forma resaltando limitaciones y proponiendo soluciones problemas áreas estudio genera comprensión mejora procesos desarrollo software mediado prácticas ágiles y cmmi sugiere desarrollo guía facilitar mejora organizativa nivel aseguramiento calidad proceso y producto y gestión requisitos cmmi veo desarrollo artículo muestra conjunto combinado prácticas xp y scrum mejora aspectos comunicación equipos desarrollo artículo menciona relación correspondencia definida establece guía apoyo organización ágil desee certificarse modelo procesos cmmi punto vista presentado profundidad asegurar conclusión •referencias revisar formato referencias guía congreso referencia editirial,• revisar concepto metodología método y modelo utilizado indistintar recomeir revisar término elegir apropiado y estandarizar • agregar referencia afirmación sección ” el calidad sistema producto influenciado calidad proceso empleado desarrollar él y mantener él ” •resumen •revisa redacción palabra oconstrucción desarrollo omodelo metodología metodología ágil empleado mejorar calidad proceso revisar concepto modelo mejorar y metodología desarrollo software ágil o“esto modelo ” modelo estar hablar modelo y metodología ágil •abstract •revisar redacción abstract frase give providir consisting of heavy development process the agilar software development models methodologies with betweir models methodology and model •introducción basar desarrollo desarrollo argumentar selección proceso ágil proceso metodología … aplicado técnico proceso mejorar proceso certificación excelente resultado práctico comentario ver relación proceso mejorar proceso y certificación y estar hablar proceso mejor proceso iniciativo mejorar proceso •estado arte proceso ágil y cmmi “ para asegurar él posición empresa recurrir certificación ” certificación implementación mejor seguir modelo cmmi •propósito y nivel cmmi concreto propuesta cmmi consistir serie práctico y proceso alto nivel ayudar organización construir modelo mejorar proceso cmmi construir modelo proporcionar conjunto práctico implementada organización mejorar proceso menciona frase referencia tabla •modelos ágil desarrollo software sección estar hablar modelo metodología modelo método y metodología indistintamente •aseguramiento calidad proceso y producto referencia fuente fuente concepto sección tablo recomeir agregar descripción práctico cmmi entendido relación propón tablar revisar “ fase planificación fase detectar y corregir conformidad ” estar seguro •gestión requisito reqm referencia fuente fuente concepto sección “ el product backlog permitir trazar requisito y papel responsable seguimiento él ” entender tabla recomeir agregar descripción práctico cmmi “ entre proveedor requisito ” referir product owner preguntar valido trazabilidad validación •conclusiones “ últimamente venir aplicar industria diverso metodología ” metodología o“el llegar nivel superior indicar serie práctica importante aumentar madurez organización horo enfrentar él problema exigente ” indicar organización estandarizar forma resaltar limitación y proponer solución problema área estudio generar comprensión mejor proceso desarrollo software mediado práctica ágil y cmmi sugerir desarrollo guío facilitar mejora organizativo nivel aseguramiento calidad proceso y producto y gestión requisito cmmi ver desarrollo artículo mostrar conjunto combinado práctico xp y scrum mejorar aspecto comunicación equipo desarrollo artículo mencionar relación correspondencia definido establecer guía apoyo organización ágil desear certificar él modelo proceso cmmi punto visto presentado profundidad asegurar conclusión •referencias revisar formato referencia guío congreso referencia editirial,3026
259,112,3,1,1,es,1,,"Resumen:  El artículo busca analizar las redes de colaboración existentes entre investigadores de Sistemas de Información (SI) en Chile y en Latinoamérica. Se utilizan las co-autorias de investigaciones publicadas en Contecsi e Infonor para realizar un análisis de redes sociales, explicando estas últimas. Se plantean 3 preguntas que se responden luego en el análisis de los resultados a través de tablas y grafos; concluyendo varias similitudes entre comunidades y que existe colaboración entre investigadores de SI, la cual es lamentablemente es en su mayoría intra-institucional.  Evaluación:  El trabajo está bien realizado. Presenta una estructura clara y concisa que ayuda al lector a entender las ideas que se están tratando. Es un trabajo interesante que pertenece a un proceso que aún no termina debido a la escasez y continuidad de datos. La primera provocada por problemas de registros y normalización de papers publicados, y la segunda debido a que habrá nuevas versiones de los congresos que entregaran nuevos datos.  Aun así, se logra identificar algunos problemas, estos son:  1) No se da un argumento basado en datos del por qué estos son los dos congresos elegidos, dados que estos congresos son pequeños.  2) Al ser un trabajo de un alcance pequeño (respecto a los congresos usados), la utilidad del resultado también lo es.  Comentario menor:  Existe un error en la numeración de las páginas.",2014-07-05,1412,resumen artículo busca analizar redes colaboración existentes investigadores sistemas información chile y latinoamérica utilizan coautorias investigaciones publicadas contecsi e infonor análisis redes sociales explicando plantean preguntas responden análisis resultados tablas y grafos concluyendo similitudes comunidades y colaboración investigadores lamentablemente mayoría intrainstitucional evaluación presenta estructura clara y concisa ayuda lector entender ideas tratando interesante pertenece proceso termina escasez y continuidad datos provocada problemas registros y normalización papers publicados y versiones congresos entregaran datos logra identificar problemas argumento basado datos congresos elegidos dados congresos pequeños alcance pequeño congresos usados utilidad resultado comentario menor error numeración páginas,resumen artículo buscar analizar red colaboración existente investigador sistema información chile y latinoamérico utilizar coautoria investigación publicado contecsi e infonor análisis red social explicar plantear pregunta responder análisis resultado tabla y grafo concluir similitud comunidad y colaboración investigador lamentablemente mayoría intrainstitucional evaluación presentar estructura claro y concisar ayuda lector entender idea tratar interesante pertenecer proceso terminar escasez y continuidad dato provocado problema registro y normalización paper publicado y versión congreso entregar dato lograr identificar problema argumento basado dato congreso elegido dado congreso pequeño alcance pequeño congreso usado utilidad resultado comentario menor error numeración página,789
260,112,3,2,2,es,1,,"El trabajo expone de manera clara y con buenos argumentos un análisis de la colaboración entre distintos investigadores e instituciones. Es interesante el aporte realizado, primero como identificación de las oportunidades de mejora en el trabajo conjunto, y segundo, como análisis de la publicación local.  Sería interesante aplicar la misma metodología sobre otros congresos del área, ya sea Chilenos o latino-americanos y ver los resultados obtenidos.",2014-07-05,453,expone clara y argumentos análisis colaboración distintos investigadores e instituciones interesante aporte identificación oportunidades mejora conjunto y análisis publicación local interesante aplicar metodología congresos área chilenos latinoamericanos y resultados obtenidos,exponer claro y argumento análisi colaboración distinto investigador e institución interesante aporte identificación oportunidad mejor conjunto y análisi publicación local interesante aplicar metodología congreso área chileno latinoamericano y resultado obtenido,262
261,112,3,1,3,es,-1,,"Si bien es cierto el trabajo se encuentra bien estructurado y da muestras de una metodología adecuada, no queda clara la utilidad del estudio realizado. Los resultados obtenidos y presentados, se basan en un periodo de estudio muy reducido, lo cual quita confianza a las conclusiones. Se observan algunos pequeños errores de edición y redacción en el texto. Se recomienda ampliar el conjunto de datos de entrada del estudio.",2014-07-05,424,estructurado y muestras metodología adecuada queda clara utilidad estudio resultados obtenidos y presentados basan periodo estudio reducido quita confianza conclusiones observan pequeños errores edición y redacción texto recomienda ampliar conjunto datos entrada estudio,estructurado y muestra metodologíar adecuado quedar claro utilidad estudio resultado obtenido y presentado basar periodo estudio reducido quitar confianza conclusión observar pequeño error edición y redacción texto recomendar ampliar conjunto dato entrado estudio,263
262,113,4,0,1,es,0,,"Me parece un trabajo interesante, principalmente por aportar evidencia empírica sobre técnicas de co-creación. Su contenido y estructura están técnicamente bien presentados. No obstante, el trabajo tiene omisiones relevantes para valorar su contribución científica. Por ejemplo, no presenta análisis estadístico de los datos arrojados. Solo expone una distribución de los resultados sin evidenciar significancia estadística. También extraño una sección (o en las conclusiones) sobre limitaciones a la validez del experimento. Creo que tiene varias amenazas a la validez que no han sido tratadas. Por nombrar algunas: no se explica si la asignación a los grupos fue aleatoriamente; el tiempo de las sesiones es distinta; el aprendizaje en sesiones anteriores, etc.  Otras sugerencias:  pág. 1	Título	Creo que no es adecuado el título. No representa el core del trabajo que es un experimento. pág. 4	Segunda columna	Errores en formato de viñetas  pág. 4	Tercera viñeta segunda columna	cada VEZ que  pág. 5	Última viñeta primera columna	paréntesis",2014-07-05,1044,interesante aportar evidencia empírica técnicas cocreación contenido y estructura técnicamente presentados obstante omisiones relevantes valorar contribución científica presenta análisis estadístico datos arrojados expone distribución resultados evidenciar significancia estadística extraño sección conclusiones limitaciones validez experimento amenazas validez tratadas nombrar explica asignación grupos aleatoriamente sesiones distinta aprendizaje sesiones anteriores etc sugerencias pág título adecuado título representa core experimento pág columna errores formato viñetas pág viñeta columna pág viñeta columna paréntesis,interesante aportar evidencia empírico técnico cocreación contenido y estructura técnicamente presentado obstante omisión relevante valorar contribución científico presentar análisis estadístico dato arrojado exponer distribución resultado evidenciar significancia estadístico extraño sección conclusión limitación validez experimento amenaza validez tratado nombrar explicar asignación grupo aleatoriamente sesión distinto aprendizaje sesión anterior etc sugerencia pág título adecuado título representar core experimento pág columna error formato viñeta pág viñeto columna pág viñetar columna paréntesis,605
263,113,3,1,2,es,1,,"El artículo trata sobre la colaboración en la creación de contenido a través de redes sociales. El articulo está bien estructurado y con algunos detalles de redacción. La bibliografía no cumple el formato exigido por el congreso.  Con respecto al tema del artículo, inicialmente se tuvo la duda sobre si era pertinente el artículo para el congreso, ya que era un experimento sobre el comportamiento social de unos individuos a través de redes sociales. Posteriormente al revisar el experimento, se puede apreciar que la pertinencia  está en la perspectiva de educación en ingeniería informática. Por lo anterior recomiendo que en el artículo se modifique el resumen mencionando el alcance del experimento para que el lector, desde un principio, tenga mayor conocimiento sobre el artículo. Además, para mayor pertinencia con el congreso, se recomienda dar mayor énfasis en la colaboración para el desarrollo de algunas tareas propias de la disciplina, tales como el análisis y/o diseño de sistemas. Por último el artículo es novedoso en la manera de cómo realizar algunas tareas a través de redes sociales.",2014-07-05,1105,artículo colaboración creación contenido redes sociales articulo estructurado y detalles redacción bibliografía cumple formato exigido congreso tema artículo inicialmente duda pertinente artículo congreso experimento comportamiento social individuos redes sociales posteriormente revisar experimento apreciar pertinencia perspectiva educación ingeniería informática recomiendo artículo modifique resumen mencionando alcance experimento lector principio conocimiento artículo pertinencia congreso recomienda énfasis colaboración desarrollo tareas disciplina tales análisis diseño sistemas artículo novedoso tareas redes sociales,artículo colaboración creación contenido red social articulo estructurado y detalle redacción bibliografío cumplir formato exigido congreso tema artículo inicialmente dudo pertinente artículo congreso experimento comportamiento social individuo red social posteriormente revisar experimento apreciar pertinencia perspectivo educación ingenierío informático recomeir artículo modifique resumen mencionar alcance experimento lector principio conocimiento artículo pertinencia congreso recomendar énfasis colaboración desarrollo tarea disciplinar tal análisis diseño sistema artículo novedoso tarea red social,606
264,113,4,1,3,es,1,,"Este artículo presenta los resultados de un experimento donde se evidencia que las técnicas de  co-creación aplicadas a través de las redes sociales y haciendo uso de dispositivos móviles pueden potenciar la creatividad de los participantes. Es un tema interesante y que considero que puede ser aporte al congreso.  Se debe mejorar la forma de presentación del artículo.  Algunas observaciones y/o comentarios: - Los dos primeros párrafos de la Introducción es casi la totalidad del Resumen. - En página 4, cambiar “cada que” por “cada vez”. - En página 5, Paso 3, no cierra paréntesis en dos ocasiones. - Sugiero agrandar la Figura 2. - Considero excesivo utilizar una página para una sola figura. - En la Referencia [11] , corregir “Conference on the, 2009” - El número de  página 3 se repite tres veces. - Después de la página 7, sigue con la página 3. - Referencia [4] dice “2004b”",2014-07-05,885,artículo presenta resultados experimento evidencia técnicas cocreación aplicadas redes sociales y dispositivos móviles potenciar creatividad participantes tema interesante y considero aporte congreso mejorar forma presentación artículo observaciones comentarios párrafos introducción totalidad resumen página cambiar “cada que” “cada vez” página paso cierra paréntesis ocasiones sugiero agrandar figura considero excesivo utilizar página figura referencia corregir “conference on the ” número página repite página página referencia “”,artículo presentar resultado experimento evidenciar técnico cocreación aplicado red social y dispositivo móvil potenciar creatividad participant tema interesante y considerar aportar congreso mejorar forma presentación artículo observación comentario párrafo introducción totalidad resumen páginar cambiar “ cada que ” “ cada vez ” páginar paso cerrar paréntesi ocasión sugiero agrandar figura considero excesivo utilizar págín figurar referencia corregir “ conference on the ” número págín repetir página págín referencia “ ”,526
265,114,3,-2,1,es,-2,,"El paper cuenta conlas secciones Introducción, Análisis Teórico, Resultados, y Conclusiones.  El paper está mal estructurado. En la sección Análisis Teórico se entremezclan conceptos básicos y aspectos metodológicos. La sección Resultados de un caso de estudio que en ningún lugar es definido. Posteriormente, se efectúa un análisis en palabras de resultados sobre una situación experimental tampoco descrita al detalle que garantice una replicabilidad experimental mínima. Finalmente, la sección Agradecimientos es altamente informal.  La redacción no sigue el canon usual de papers (redacción en tercera persona), sino que se presenta en primera persona. Se requiere mejorar sustancialmente el orden y la presentación de cada sección.  En resumen, el paper sugiere la idea de que la implementación de sistemas instrumentados de seguridad es vital para mejorar la seguridad y calidad de procesos en la industria. Sin embargo, no se proponen modelos, experiencias, resultados empíricos concretos u otro equivalente. No existen motivos reales para proponer la aceptación de este trabajo.",2014-07-05,1086,paper conlas secciones introducción análisis teórico resultados y conclusiones paper estructurado sección análisis teórico entremezclan conceptos básicos y aspectos metodológicos sección resultados caso estudio definido posteriormente efectúa análisis palabras resultados situación experimental descrita detalle garantice replicabilidad experimental mínima finalmente sección agradecimientos altamente informal redacción canon usual papers redacción persona presenta persona requiere mejorar sustancialmente orden y presentación sección resumen paper sugiere idea implementación sistemas instrumentados seguridad vital mejorar seguridad y calidad procesos industria proponen modelos experiencias resultados empíricos concretos u equivalente motivos reales proponer aceptación,paper con él sección introducción análisis teórico resultado y conclusión paper estructurado sección análisis teórico entremezclar concepto básico y aspecto metodológico sección resultado caso estudio definido posteriormente efectúar análisi palabra resultado situación experimental descrito detalle garantizar replicabilidad experimental mínimo finalmente sección agradecimiento altamente informal redacción canon usual papers redacción persón presentar persona requerir mejorar sustancialmente orden y presentación sección resumen paper sugerir idea implementación sistema instrumentado seguridad vital mejorar seguridad y calidad proceso industrio proponer modelo experiencia resultado empírico concreto u equivalente motivo real proponer aceptación,752
