,level_0,translate_eng
91,36,"The article generally proposes an architecture based on the Windows Azure platform to develop applications for Cloud Computing, which is a very current paradigm in computing technologies.  You would appreciate some indicators or comparisons of why using Windows Azure and not other platforms for applications in Cloud Computing.  The use of Windows Azure for the development of an application for Cloud Computing does not seem very original to me and the architecture raised is based on MVC, which is widely used in the area of application development.  The article describes in a very general way the concepts of Cloud Computing, MVC, Web Services, and REST.  The topic of Cloud Computing is a current paradigm of computing, and from that point of view, the article is relevant.  It would be appreciated to define the acronyms at least once, to define whether the ""cloud"" or ""the cloud"" will be spoken, references in the section of ""Proposed Architecture"" and some figures that will show the proposed architecture."
92,36,"-Description of the Windows Azure cloud platform components. -A description of the concept of cloud computing.   -Lack discussion regarding possible disadvantages or adverse scenarios of a ""cloud implementation""-The summary talks about ""... detailing the experience in building a platform to build public and open cloud"" but is only limited to the description of the Azure platform. -Very deep in the description of the application that was mounted on the cloud platform. Given the title and summary, more analysis is expected in terms of the advantages and disadvantages of development using this platform. -Problems of drafting within the same work. -Certain sections seem more of a commercial ""brochure"" than academic work."
93,36,"The paper has a relatively coherent structure, introduces a series of concepts that for someone who does not know the subject could be useful, speaks about architectural patterns and describes windows azure. For someone who knows the subject it is tedious to read definitions already known, on the other hand, the title of the paper is not consistent with the writing in the manuscript, in fact it gave me the feeling of being reading a commercial booklet more than a scientific work, cloud computing and especially its implementations, as for example windows azure have advantages and disadvantages, to mention some disadvantages: loss of control, performance, privacy, in Latin America all countries have serious bandwidth problems, so cloud computing can constitute a risk rather than a benefit but improves a basic aspect, improve the data networks. I think the case should have been explained more, since it is the essence that is evident if cloud computing is useful or just another buzzword that wants us to sell the commercial area of the IT companies. The paper is mainly limited to explaining concepts and benefits rather than showing the benefits and qualities by an example or a practical case.  The practical case is not detailed and the development of applications is not seen from a critical point of view, only positive aspects are mentioned and not the negative ones.  Although cloud is a current term, after participating in several grid computers and collaborative systems, I am not yet clear if cloud is a commercial area buzzword or if it really has something new that did not have the concepts that were coined before, although a critical and objective view of the topic was lacking, in parts it looks like a commercial brochure, I think an open discussion of the topic can be generated to help answer the doubts that exist around the term cloud computing.  The paper has editorial errors in the summary, however, it has coherence and an evolution of the theme, although the theme in which it evolves is not aligned with the title of the document."
94,37,"The paper introduces a segmentation procedure for breast tissue images using SVM.  General comments: a) Concerning the proposed approach: The segmentation method introduced only considers local color/gray value information. Perhaps introducing other features related to the membrane's local (e.g. the membrane has symmetry properties that can be exploited) or global (e.g. continuity, approximately circular shape) properties may improve the segmentation results.  Feature selection is also a key component to improve performance. Use a feature selection procedure.  b) Concerning the experience: You should describe the experiments with sufficient detail so others can replicate them: a) Make your data publicly available b) Explain how you have selected the classifier's parameters (parameter selection in an SVM is critical and may improve notably the performance).  You should join Figs 10 and 9 in a single plot so we can better see the differences.  You only provide qualitative segmentation results (Figs. 12, 14, 15), but quantitative results are also very important. Specifically when it comes to comparisons. You should quantitatively compare your algorithm with other competing works in the literature.  c) Concerning paper organization: The paper is well written and clearly introduces the problem, describes the relevant literature and presents the solution. I have a few comments concerning the paper organization: a) Problem statement and literature review (intro and theoretical framework sections) are in my opinion a bit long, compared to other important sections, e.g. feature extraction and experiment which are just one paragraph each. b) Although English is in general correct, there are some small mistakes that could be solved by having it read by a professional. c) There are two ""proposed method"" sections Well written paper. Good literature review.  It only shows very preliminary results."
95,37,"This paper shows a method of segmentation of images of breast tissue for the binary classification of pixels of an image using SVM, to determine the presence or absence of the staining of the membranes of cancer cells. This work is interesting and valuable, due to the difficulty of obtaining this type of images and the interdisciplinary approach, presenting an interesting future work. It is well written and the results shown even though partial seem correct and justified.  Verify the wording and typography of page 4 in its first and last paragraphs. The main weakness of this work may be the low amount of test images and the lack of comparison with other methods. It would also be desirable to show overall results of the classification and not just of the validation process. In addition, the properties explained in the score table (completeness and intensity) are not directly used in the classification process."
96,37,"The paper presents a medical test based on images of tissue sections. The approach proposed to cancer cells segmentation (membrane localisation) is based on local pixel features and SVM classification.  The paper describes quite well the practical problem it deals with (cancer cells segmentation on images) and it is generally well written.  -The paper approach described in the paper seems a first try on the problem and follows others in a quite similar (but new) problem. Moreover, the paper concludes that the proposed approach is not good enough.  -The features used for classification packs of frequency information around each pixel (although it used the first derivative with excess). Most text descriptors in the literature use frequency information from gabor wavelet, fourier coefficients, DCT, etc. Why not use this kind of information? Why you have chosen this 7 features and not other ones? The paper tracks of experimental evaluation on different features sets."
97,38,"The article presented describes how to model a multi-agent system according to the ""GAIA"" agent-oriented methodology to model requirements traceability.  The proposal by GAIA to model the traceability of requirements using Multiagent Systems appears to be novel.  The presentation of the article is rather confusing, the paper presents some misspellings, writing and structuring errors, reference to tables that are figures, presented tables not referenced, there is no figure 6, the item ""results"" must be changed or described elsewhere in the document. Insufficient conclusions."
98,38,"-The article describes various approaches to developing requirements, and applies one of them (GAIA) to the construction of multi-agent systems (MAS).  -The Introduction is long and covers many topics; it should be divided into several sections, and leave in Introduction only the general context and description of the rest of the article. -There is no example to illustrate the technique, which is described in 1.5 pages, being the essential contribution. -No validation of any type."
99,38,"It is proposed to use the GAIA methodology for traceability to the requirements, the proposed approach is based on the social capacity of the agents to process knowledge, to perceive the changes of the environment and communication. This is a complex task, because in the development of software a wide variety of models and diagrams are used that facilitate the representation of knowledge, these artifacts are modified in time. These changes come mainly from the user.  It is necessary to deepen the practical implementation of the proposal to better assess the scientific and practical contribution."
100,39,"It is interesting to develop a web framework for the management of IP cameras. A theme that is, for me, novel and can be extended in its utility.  There are problems of writing and presentation (for example, ""it has an IP camera which can ...""). Furthermore, it is unclear whether applications have been developed on the framework and whether they have a proper functioning."
101,39,Displays a mix of web technologies for development and implements a native solution.  It does not show how much bandwidth is consumed in the trunks by the application when the cameras are working all together. It needs to show more results.
102,39,"The work presents the development of a web framework for transmission with the capacity to analyze images of IP cameras.  The bibliography presented are web pages related to the tools used for development, but not to related topics or other related applications.  Formatting problems (check spelling, line breaks when it should not, identation, Indicates in the summary that the system has parsing capacity, but at the end indicates that it is disabled.  What is the advantage of savings in real Ips usage?  An analysis of the previous situation is missing with the current one. What the system improved on."
103,40,"-The article addresses a relevant and community-based problem (e.g. CMMI-ACQ).  -There is no state of art that reviews previous attempts to solve this problem. -The definition of acquisition project patterns should be based on the usual pattern definitions (maxime when compared to design patterns, as is done in the Conclusions); e.g., the Portland style of design patterns recognizes context, problem, and solution. -The technique used (MECT) seems suitable for building taxonomies, but not patterns (when excluding considerations about causation etc.); the article seems to assume that ""design patterns"" are ""shape patterns"", and they are not. -The reference [13] mislists the author's name."
104,40,"This is an issue that has not been sufficiently addressed and that it is therefore good to treat it in a ""serious"" way.  Precisely because of the above, it is that this theme can be ""taken out more."" Although I consider the classification to be appropriate, I think it could have gone a little further."
105,41,"The article presents a screening and eye-tracking system for psychological clinical analysis.  General comments.  In the topic that the article addresses has been published quite a lot. However, no other directly related relevant works are cited, which help us to place the proposal within the literature. A good starting point may be the special issue of the journal: Computer Vision and Image Understanding Volume 98, Issue 1 (April 2005) Special issue on eye detection and tracking The experimental part of the work is very brief. It is important to describe in detail the data used in the experimentation, what the conditions of capture are, and even to make them public so that other researchers can compare with them. As for the results, it is not enough to give a percentage of correct answers. The false positives and negatives must be analyzed and related to the technique used and, if possible, with the future topics to be investigated.  Other comments: In the article it is mentioned that the speed of response has been considered, but no figures are provided.  The introduction cites the reference [3] in the related review on the psychological aspects of the article, when this reference seems to be of mathematical morphology.  Some references are incomplete: + In the 1 and 2 the editorial + in the 3 is missing the speaker/magazine. + In 5 the volume, number and pages The article addresses a topic of great technical and practical interest.  A system that appears not to be fully developed is described."
106,41,"The work presents an eye position detection development system to support a person's psychological analysis.  A shape for detecting eyeballs and their direction is presented.  In addition to a small reference to C/C++, the use of support libraries, such as filters, image capture, etc. is not explicitly specified.  It is mentioned that the speed of response of the system has been considered, however, there is no evidence of this factor.  The data set on which the study was conducted is not mentioned, if it is pre-existent or developed specifically for this work by the authors. No details of the faces of this data set (age, race, sex, etc) are presented.  It is not specified whether the results obtained were reviewed by a professional in the clinical area and its conclusions.  The references are very few in relation to the field of the developed work."
107,41,"This paper proposes a part of an, not concluded system, to recognize and interpret the eye movement as a tool to support a psychologist.  It's an interesting topic.  Although it is an interesting topic, the problem to be solved or the results of the interpretation of the eye movement is not explained. I could have used more sheets to explain this. A part of the analysis of results was lacking.  Formatting problems (writing problems, spelling, there are equations in which you do not explain the terms, you should write in third person) The mode of presentation was in 4 or 10 pages, however it presents only 3 pages."
108,42,"This paper shows the results of the development of a CBIR based on the indices of metric distances, comparing it with existing systems through the accuracy of recovery and comparing the efficiency results in time for different indexing approaches such as GNAT, NAT, etc. The work addresses an important problem of recovery systems, its structure is correct and the results appear to be based.  Perhaps the evaluation criteria are not enough to determine the superiority of one approach over another, although the authors recognize the main shortcomings regarding this point and visualize future work in this direction. The explanation of section 2.3, on accuracy, is unclear in defining how it is known about the correct images more similar to a query to be able to calculate the accuracy. The time charts in Figure 3 do not indicate the scale."
109,42,"The article discusses building image recovery systems based on the content (of the images), CBIR. The CBIR problem is introduced and some algorithms are presented that allow to speed up the searches of neighbors closest to an input vector (corresponding to an image) in the chosen feature space to represent the images.  Color-based features, the response in frequency, and global are used for each of the local boxes in which an input image is divided. This introduces information of different types to the CBIR system to represent the images.  -The article does not clearly delimit its contributions. It seems that something is brought about as far as the feature space in which the images are represented and it also seems to bring something into the algorithms and data structures needed to speed up searches in metric spaces.  -In general the article uses little space to explain the proposed approach to CBIR (two references to master's thesis are given). In the conclusions, experimental results are presented, when they should clearly go in a previous section with the experiments.  -As for the visual characteristics used to represent an image: There is a lack of experiments that allow to establish what each one of the characteristics that it proposes to use. This is, I think it's important to answer the question Why are you and not others? and also to the question Is it any redundant and could be stopped using? While it is true that a feature selection procedure is used, there is less an experiment setting out what the effect of the selection is. How much is gained in rate of success on the use of the complete vector?  It seems that the feature space after the selection has a dimension of 3078 (section 2.4). Is this or the 3078 features extracted ""manually""?  -The comparison experiment of CBIR systems is not understood (section 2.3). What is done with the 100 images common to the databases? Is the same query done on all systems, and accuracy and recall are measured using only the 100 common images when they appear or not in the system response? That's not explained at all in the article.  -When given a data such as sensitivity and specificity in the conclusions, it has to be said about which data set has been tested. It is possible to test some data and obtain a completely different result on others. Therefore, sensitivity and specificity without reference to the data that has been obtained are meaningless.  -This reviewer finds it that an article on CBIR should not overlook developments in Vision by Computer based on local (already classic) features such as: Sivic, J. and Zisserman, A. Video Google: A Text Retrieval Approach to Object Matching in Videos Proceedings of the IEEE International Conference on Computer Vision (2003) D. Nister and H. Stewenius, Scalable recognition with a vocabulary tree Proceedings of the IEEE International Conference on Computer Vision and Pattern Recognition (2006)-Some of the references, such as the [10,11,13], are incomplete What do they refer to? An article? An example system running on a URL?    -The system working at the URL that the authors refer to gives execution failures when trying to test with images extracted from google images."
110,42,"The publication aims to show the benefits that metric structures have for image recovery. This work is the continuation of several works already presented, such as for example. [1] ""Parallel metrics in the recovery of images"", Peña-Jaramillo, E. (Referred to in the paper) [2] ""Definition of a Recolator of Images based on Contents on Metric Spaces"", Eduardo Peña-Jaramillo, et al. (Not referenced). [3] ""Parallel Metrics in the Recovery of Images on the Web"", Eduardo Peña-Jaramillo, et al. (Not referenced).  On the number [1] reference it has not been possible to obtain an electronic copy, and since the aforementioned publications [2] and [3], it can be said that there is a new contribution in the experiments carried out on GNAT and Spaghetis structures. It should be explained in the publication that the work is not original from the point of view of the author, and that its extension is based on the work [1], [2], [3] or another that has direct relation to the work presented.  -The text is well structured and it is easy to understand what you want to expose. -Well in the presentation, there are no serious problems. Only improve the figures of the graphs, especially the tildes, in matlab you can add text in latex to avoid these kinds of problems. The word ""more"" appears on a couple of occasions without tilde.  -In the section of ""Introduction"" although the work is presented in general, I think it would be important to point out what the state of art is in these matters. Are there related works? Are there important references? What is the contribution of work on the state of art?, etc. A more comprehensive literature review is lacking. -In the section of ""Extraction of characteristics"" I have found some details such as:-It has cost me to find a definition about the technique of layout since there is only one reference [1], so I intuit that the characteristics obtained from each sub-image have been considered as a signal which are mixed to obtain the vector that represents the total image, as it says in the text: ""The union of all the characteristics extracted gives us as a result ..."", where it is not clear the type ""union"" that takes place.  -The same is also true when reference is made to the Fisher discriminant, once again [1]. A more relevant source should be added for this point. -The type of database used is not explained in detail. Is it public or private domain? What type of images or groups of images it contains. How many are there by class? Are there repeated images? Quality of the images. The idea is to have a frame of reference so that anyone who wants to compare their algorithms with their own makes them on a level playing field. -From the images shown in Figure 2, I can deduce which database (I hope to be wrong) has repeated images that can produce a bias when calculating the values of precision, sensitivity and specificity of the recovered images. I believe that the ideal database for correctly measuring the quality of the recovery should have different images, even if they are the same, but never the same. Since when retrieving a set of images on a query, if they are repeated, the amount of true positives will be proportional to the repeated which will translate into a bias on the calculation of the metrics.  Recommendations-The text mentions (conclusions section) that the solutions are not entirely satisfactory. I think there are currently projects like http://similar images.googlelabs.com/, images.googlelabs.com/, http://www.like.com/, http://www.like.com/, http://www.tineye.com/, others; that show a great advance in this field and it would be good to be checked.  -On the other hand, on the set of features used I recommend to review other types of features that have been shown to be invariant to scale and rotation. [4] ""Distinct Image Features from Scale-Invariant Keypoints"". David G. Lowe. International Journal of Computer Vision, 2004. as well as its improvement [5] ""SURF: Speeded Up Robust Features"", Computer Vision and Image Understanding (CVIU). Herbert Bay, Andreas Ess, Tinne Tuytelaars, Luc Van Gool. Vol. 110, No. 3, pp. 346 -- 359, 2008."
111,43,"General comments: • It is recommended to review all the writing since there are words of more or words written in the wrong way for example: incomplete, itemes (p 3); queen (p 4), of (p 5) ... etc • Review the spacing of the words • Review the numbering of the bibliography as it has to be listed in the order in which it appears. • Review that the text is of the same size (example: end first column page 1) Comments by sections II SCRUM YSPEM • Refer the part dedicated to SCRUM as well as the figure since it is not own of the authors if not taken from someone else III LIFTING OF REQUIREMENTS USING SPEM • Review the concept of stakeholder or reference of which reference used that concept, for example included the concepts of stakeholder for CMMI. ""Interested Party (stakeholder) A group or individual who is affected by or is somehow responsible for the outcome of a company"" ""Interested Party (stakeholder) A group or individual who is affected by or is somehow responsible for the outcome of a company"" IV SOFTWARE DEVELOPMENT WITH SCRUM • Title of Figure 5, can be improved the title of the figure for example: model of the software development process based on SCRUM and using SPEM for its modeling • It is recommended to reinforce the section by adding references for the terms V METRICS TO DEFINE THE QUALITY OF THE DEVELOPMENT OF THE SOFTWARE • It is recommended to add references when describing the concepts of metrics VI A PRACTICAL CASE • It is recommended to improve the description of Table I (content of columns and operation or operations carried out to establish standard deviations of weight and evaluation) • There is a bullet without text under Table 1 • It is recommended to support the section with a chart or table showing a summary of the measurement of quality, to understand the measurement ""just in time"" of the one that speaks in the conclusions"
112,43,"The article promises to present a method to measure the quality of software development at SCRUM.  I consider the proposal interesting and relevant, however the work has weaknesses in its construction.  The title promise is diluted in abstract eL and introduction, with the ""introduction"" of SPEM as a tool. Then in the article body there is no clear link between SPEM and the proposed quality measurement method.  Nor is the case for study on which they are basing their work clear. The modeling in SPEM is on SCRUM in theoretical form in the case of study. The evaluation of the method does not seem to measure the quality of the software, but the criteria of those involved with respect to the attachment to the modeling process. And in any case, it always measures intermediate documents of the process and not defects or first attributes of the quality of the software produced.  Minor Comments:-Review Building of References-SCRUM modeling does not include the retrospective meeting. If a particular SCRUM implementation is being modeled, clarify it in the paper body. Otherwise it is an important modeling error. -Why do they use a traditional process to model an agile process? Could not one of the latter have been used? -In the first sheet, at the end of the first column, the typeface changes."
113,44,"Interesting work that deals with the simulation of urban environments to simulate accidents and measure the effects of urban interventions that help in their prevention. The work is a contribution both from the point of view of the objective of the same, as well as the detailed description it carries out on the process of integration of technologies that allowed it to be carried out, which can be replicated for projects that use 3d technology with other objectives, as well as the strategies used to refine the model through aerostatic balloons. It misses, that does, a review of similar jobs to have established a comparison."
114,45,"This is an interesting work, where the author wants to show the Honeynets as an alternative security measure, to learn how to operate intruders and thus create new forms of protection.  Remarks:-The name of the only author should be centralized in the article. -Words and figures in English. The article is in Spanish. -References are inadequate: there is a single article cited and with incomplete reference. Improve bibliographic review, citing current articles and books."
115,46,"SUMMARY. The job describes the steps to follow to apply fuzzy logic concepts on mobile devices. To exemplify the steps to be followed, the author used a mobile robot called AMADEUS (similar to the cleaning robots marketed in Japan [1]). To apply the concepts of fuzzy logic, Mamdani module was used.  General Assessment. The subject is an interesting and very recurring sum of late. Devices that use fuzzy logic to operate is a very interesting and novel bridge between Artificial Intelligence and ""pervasive computing"". However, this work has at least one major weakness that should be resolved: 1) At work it doesn't show because it's really important to use fuzzy logic. An application example is strongly recommended for the job In which would you help to use fuzzy logic on mobile devices?  2) At work it is not very clear to me whether the use of fuzzy logic on mobile devices is something new in this area. If it is not something new, perhaps the job could only become a repetition of another job. If it's something new, please mention it.  Minor Comments:-In the conclusions, the phrase ""was demonstrated"" is mentioned; it is suggested to change to ""it was shown"". -Take care of the uses of scores (e.g. ""..."", ""."") and the upper case. -At the end of the introduction, it is suggested to mention the structure of the document.  [1] Auto Mee: www.yumeki.org/comercilizaran-pequeno-robot-limpiador-de-dispositivos-tactiles"
116,46,"This article is not an investigative article, as it only shows how to program a robot using the fuzzy logic tool. This theme has already been proposed as a solution in robot navigation."
117,46,"The work, according to the reviewers, does not present a direct scientific contribution in the area of robotics or diffuse systems, however it is a very interesting application to be presented in the Workshop of Robotics of INFONOR 2013. This is why it is recommended to accept the article for presentation."
118,47,"This article proposes a system that adds fuzzy components to certain attributes of a database with information about the physical state of people.  The application of the work is interesting, since there are few experiences where in practice diffuse attributes are used for storage and consultation in our country, so it can make the subject matter interesting for our congress.  However, the following aspects, or are not clear or incomplete:-Use format requested by the congress. -Improve general wording of the summary/introduction-Compose third person point 3, 4.1.1 when referring to the client-Take care of the use of abbreviations that are sometimes used in lowercase or upper case-Compose the conclusion with an approach where it is clear what benefits the user obtained from the system with respect to a non-diffuse system-It is not clear how the functions of belonging used were determined. -There was some kind of study/comparative to check the contribution that a system like the proposed improvement or complements a traditional system in the area applied Due to the above, it is recommended to accept the article for presentation in the Workshop of business applications."
119,48,"A Learning Object serves as support for the educational process, to develop competencies in students in one of the three types of knowledge (conceptual domino, domain of procedures and development of attitudes and values). None of these areas give evidence to prove it. In addition to the fact that the experiences are very basic, the abstract, I quote: ""The article presents, the experiences gathered from the application of Learning Objects in the development of the subject of Introduction to the Theory of Automates, because significant changes have been made in the development of the course, with a detailed and exhaustive academic follow-up through a scheme of"" Quick Feedback ""and"" Short Questions ""."
120,48,"The need to use Learning Objects (OA) for the teaching of the course ""Introduction to the Theory of Automates"" is presented. However, there is very little information on the subject of the article to the OA chosen for the course, there is no information about the results of its application or its consequences (learning outcomes, survey of students to validate it, etc.). This is why it is not recommended to accept the article, unless information is added to support the implementation of OA in this course."
121,49,"The article is interesting because of the thematic it addresses and the results of the analyses carried out, rather than the methodology itself. I have doubts about how the analyses are fed with the new information and how the system is integrated into the USACH's transactional systems. However, it is an interesting application."
122,49,"1. What is proposed is interesting as an application but it is not a scientific work.  2. In the summary, nothing is indicated regarding the methodology proposed by which perhaps the title ""Development of a Methodology"". It should be aimed at ""A proposal for the systematization of the information system of the propedeutic ..."". 3.	No methodology is proposed is an ""interesting"" application but not a methodology.  4. On page 3 correct drafting error ""in Figure 1, held as"".  5.	The idea of what is being proposed, that is to say, a 'clear' analysis of the advantages of why the proposal is interesting and important, is lacking. For example, you can make a table with the advantages over other models. Just as it does not indicate an advantage over other methods because other methods are not analyzed."
123,49,"The article proposes, according to the article, a computational platform related to academic information from the USACH's Propedeutico. Subsequently, in "" III. Development of the Proposal "" A methodology is proposed. It is not clear if it is a computational platform, if it is a methodology, if it is a systematization of information ...  The Abstract should be improved, as should the Conclusions.  The article is brief, it could have presented the proposal better if it had spread a little more (the proposal is presented in less than 2 sheets).  Other Comments:-Change ""Words Reserved"" by ""Keywords""-In Introduction, the mentioned web pages must be declared in References. -References are confused with the identification of the titles of sub-sections. For example: ""[1] Multicrittery Decision"" (not Reference 1). -On page 3, change ""organized"" by ""organized"". -On page 5, says ""Table 2"", you must say ""Table 3""."
124,49,"This paper, according to the reviewers, does not directly contemplate a scientific contribution, however the experience and the subject matter are interesting to present in the congress.  Although it cannot be presented as a regular paper in the congress, it is recommended to accept the article for presentation in the education workshop of Infonor 2013."
125,51,"SUMMARY: The work recounts the steps taken to use SAP ERP software in Embonor, a producer and distributor of Coca-cola products.  Before reporting this experience, this company already had some SAP modules implemented (Financial, FI-CO, Logistics, Human Resources).  General Assessment. Although the work does not present a scientific structure of an article, it is extremely interesting (in my opinion) to listen in more detail to this experience in infonor 2013. Perhaps, I would recommend adding/presenting a bit more about the assessments this implementation (in their conclusion, they mention this as a future job).  Minor Comments:-Mainly take care of the spacing between words and points. -Figure 1 is very little sharp. -Figure 4 says: ""Menus of table xx (standard on each SAP screen)"" xx?"
126,52,"General comments: • There is talk of a template, however in no part of the article appears this template • It is recommended that an example of data collection can be included in the template • Adding analyzed data graphs can support in a better understanding of the analysis that was performed. • Review all the writing as there are many inconsistencies in the writing for example: articles of more or missing words • Review the spacing of the paragraphs • There is very little bibliography • Review that the indentations used as the beginning of the paragraph are in accordance with the format of the congress • Review the format of the references bibliographic comments by sections Key words: • Review the keywords: ... case study, ISO 9126 Introduction • General ....? → Generally or Generally C. ISO 9126 • It is recommended to review the translation done in the section of ISO 9126, in addition to being careful in the sub-features mentioned and in what you really describe since on more than one occasion the names do not match. • Efficiency is not described as it does with other quality attributes • Review the sub-features included in the portability attribute, especially in the sub-features of effectiveness, productivity, physical security and satisfaction, refer to where you extracted that information Development of the template • I understand that the first bullet ""When interacting ..."" a brief description of the moment in which you must answer the associated question ""Does it exist ... "", I recommend using different bullets because as well as you have cause confusion ... so in all the sections that apply this situation Application of the practical case • It is recommended a better description of the percentages for example to add a table in which the total number of questions associated with each attribute and the associated percentage are mentioned"
127,52,"The document attempts to display an evaluation of software quality attributes based on the ISO 9126 standard. The document shows a proposal for a template with a series of questions to analyze the quality of different quality attributes of a developed software product. However, the document lacks structure. The wording is deficient. Some parts of the document do not follow the required format parameters in the authors ' guide. For example, the abstract (abstract) is centered and according to the event guide should be justified. In the same way some paragraphs of the document are presented. As for the wording, the document is difficult to read, missing or poorly placed the punctuation marks. The keywords do not match as keywords in the article. There is a lack of bibliographic references to support the claims made. Even though the template can be as useful as they try to ensure at work, it is necessary to seek a more consolidated validation that allows to ensure its usefulness. The statistics presented lack valid justifications and the presentation format is deficient. Much of the paper focuses on making statements described in the ISO 1926 standard and: 1. It is not properly cited as the main reference of the work. 2. Focusing the article to summarize the definition of each feature or subcharacteristic of the standard does not seem very appropriate for this type of work. The presentation format of the template lacks clarity. It appears to be a questionnaire format but is not displayed as such. There is a list of unclear statements and questions. Some of these questions are mentioned in the results, however they do not appear in the list called by the author as ""plantila"", is the case of: Does the system operate together with another system?. In general terms the work should refine much more."
128,52,"The article presents a case study of the application of a template to measure quality according to the ISO 9126 standard. While it is true to fit the scope of the event and its proposal may be of interest to software engineers who wish to have some practical instrument to apply in their quality systems, the work has serious deficiencies that must be improved to be published.  The technical presentation of the document has shortcomings that do not meet the standards set for writing the article. In particular, we can mention some:-The format is not uniform as can be seen in the abstract that has different settings in its extension. There are also differences in the space after each paragraph. Sometimes it exists and sometimes it doesn't. The vignettes have different bloody ones. Bibliographic references have different indentations.  -The most serious is spelling and writing. The document requires a thorough editing review. In only the first two paragraphs of the introduction I have found more than 5 faults.  With regard to its structure I believe it must be reorganized to improve its presentation. I believe that the objectives must be within the framework of the introduction. The presentation of the ISO criteria should be summarized in a descriptive table. It's latefully extensive and I think it can be referenced for details. On the other hand, I think it should be clarified whether the template is pre-existing or is a work proposal, in which case it should be highlighted as it would be the main contribution of the article. Your presentation is unfortunate. I think it should be summed up in a table and clearly stipulate what can be answered. Most are not even presented as questions. I insist that if the template is the contribution it should be facilitated by other engineers. Your presentation does not help this. (for example the first, "" When interacting with the system, identify how predictable it turns out to be "": what answer?) The instrument should be self-contained so that it clearly contains a guide for its application. More so, it doesn't provide clarity to know how it combined responses to queries to get a quality metric. I think there is too much work left for the reader.  The results are not presented in a readable form. I think a table would help. Even, it mentions several times the tabulation of the results but this does not appear. As is a case study I would like to see in that table the answers that were obtained and how the percentages that measure quality were calculated."
129,53,"Presents a response search from a request in a call center.  The work is well presented, but very long, and that does not allow us to see well what the authors want to contribute."
130,54,"It is an interesting application, only that there are measures such as averages that are not additive, so the design must be corrected, because the system results can be erroneous (not to use to make decisions until the averages are removed, these must be constructed at each level of role up)."
131,54,"This work addresses an interesting subject, but it is very poorly presented.  Starting with the summary, which ends with a really incomprehensible paragraph: ""Every result is possible to the good modeling of the data to then execute the ETL process and thus end exploiting them with an OLAP tool"".  The Introduction does not improve; it starts with a ""Nace like this ..."", which is the first sentence, which does not correspond, since by style it seems to be the continuation of another idea.  Point II, Theme, appears as a good opportunity to account for the state of art, but it is used to group a set of definitions, without it being clear that they are part of a whole that the author will use as a basis for developing his proposal.  Point II, Analysis of the problem, is reduced to the processing of the data.  The author once again misses an opportunity to raise the problem and highlight the impact of his proposal.  The text contains an important amount of misspellings, which do not hinder the comprehension of the writing, but which show a lack of prolijity in writing.  In VI Exploitation of indicators, important space is allocated to the first indicator: average age ...  Being the values obtained quite close in all regions, what does that data actually serve?  More accurate revisions of a text that does not meet the expected quality standards are required."
132,54,"1. What is proposed is interesting as an application but it is not a scientific work.  2. It is no longer interesting to apply a Datamart from a technical point of view as presented by the author, since there is a lot of documentation and work on it.  3. The author should look for other ways if she wants to investigate the area.  4. There are design errors in the measures of the fact table. So it is possible that some results may not be good."
133,54,"The article, according to the reviewers, is not a scientific contribution, but the subject is particularly interesting to discuss in our congress. This is why it is recommended to accept the article for presentation in the business application workshop instead of regular paper."
134,55,"This article presents a Comparative Analysis of Maturity Models in Business Intelligence, showing the DEA and MESME techniques to perform this analysis. Even if the method is clear, it is not understood whether the resulting model is selected for any organisation, i.e. if it is general.  You should use Business Intelligence, rather than Business Intelligence.  These models are surely defined for large companies in the United States, so they work equally in Chilean companies? The maturity in Business Intelligence in companies from developed countries is different from countries like Chile.  It is not necessary to include point II alone.  In point V, paragraph 2, indicates that a DEA adaptation is described and does not specify the reference or if it is an adaptation proposed by the authors, as well as indicating why an adaptation is used.  On page 4, the first paragraph indicates that the Hierarchy model is excluded and then checked in again in the following steps.  On page 5, point E, it is not clear why the output should be increased by 10% in order to increase efficiency. In the letter F you must change the word 'we can' and in the second paragraph it seems that the table to reference is 5 and not 6.  You should describe the elements of the equation (3).  In point B, of VI, it is not understood why the IS model was selected, if it had less efficiency.  In Figure 6, the graphs of each model are not clear. In points V and VI the steps label them with numbers and then describe them with letters.  You must use an equation editor.  The item does not have the format specified for this and is more than 8 pages. On page 7 when you include the table produces a mismatch in the text to fix."
